,homeRating,awayRating,oldRating,ovrRating
American Athletic Conference,0.8492190831995514,0.7504561525452291,0.875121255008514,0.7176646781921532
Atlantic Coast Conference,1.140526008515298,0.9879592760473488,1.0729435608257378,1.1740143404738164
Big 12 Conference,1.1364215234467947,1.0828216202148462,1.260517532424516,1.2998674466859192
Big Ten Conference,1.2075041605820211,0.8111066598747056,1.3457712380050302,1.1030920902521912
Conference USA,0.9625472423651722,0.7872535316293184,0.8412977408572215,0.8134735007569761
FBS Independents,0.8733241457764356,0.8752708412518854,0.9286639178215278,0.8365889247708663
Mid-American Conference,0.8674183257020758,0.7497388825525371,0.6729746666365357,0.6883346910323047
Mountain West Conference,0.8101446775286806,0.8675474579025851,0.6721418760674419,0.7328715294396162
Pac-12 Conference,1.2122958101826713,1.145379312205768,1.0346708800928042,1.3892269016339898
Southeastern Conference,1.2711188634396844,0.8395490142513736,1.3975502815961822,1.188165637324941
Sun Belt Conference,1.082482031420612,0.951540099989789,0.8983470506644904,1.056700259437227
